0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:03:18 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:09:40 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:09:40 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:09:44 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:09:44 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:09:54 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:10:00 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:10:00 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:10:01 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:10:01 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:00 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:00 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:02 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:02 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:04 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:04 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:05 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:05 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:05 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:05 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:05 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:06 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:06 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:06 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:06 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:07 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:07 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:22 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:22 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:23 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:23 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:23 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:23 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:23 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:23 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:30 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:30 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:37 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:37 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:49 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:12:49 +0900] "GET /2020_0611_HtmlTest/css/mymenu.css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [17/Jun/2020:12:19:42 +0900] "GET /2020_0611_HtmlTest/08_css_test3.html HTTP/1.1" 304 -
